timestamp,iteration,order_id,side,price,amount,value_usdt,fee_usdt,profit_usdt,cumulative_profit,equity,notes
2026-01-18T14:36:29.226671,549,996782236758,buy,142.20738000,0.02500000,3.5552,0.0036,0.0000,0.0000,51.2996,Filled at iteration 549
2026-01-18T14:57:29.313928,612,996761725665,buy,142.08787800,0.02500000,3.5522,0.0036,0.0000,0.0000,51.2746,Filled at iteration 612
2026-01-18T14:57:29.433598,612,996796778568,buy,142.11775350,0.02500000,3.5529,0.0036,0.0000,0.0000,51.2746,Filled at iteration 612
2026-01-18T21:15:29.996375,1746,996828648622,sell,142.66963200,0.02500000,3.5667,0.0036,0.0286,0.0286,51.4363,Filled at iteration 1746
2026-01-18T21:47:09.991603,1841,996941305966,buy,142.07791950,0.02500000,3.5519,0.0036,0.0000,0.0286,51.2675,Filled at iteration 1841
2026-01-18T21:58:10.025503,1874,996810575445,buy,141.88870800,0.02500000,3.5472,0.0035,0.0000,0.0286,51.1743,Filled at iteration 1874
2026-01-18T21:58:29.769766,1875,996820152333,buy,141.67957950,0.02500000,3.5420,0.0035,0.0000,0.0286,51.1743,Filled at iteration 1875
2026-01-19T00:34:50.991558,2344,996961963792,sell,142.42863600,0.02500000,3.5607,0.0036,0.0285,0.0571,51.3587,Filled at iteration 2344
2026-01-19T01:28:50.475523,2506,996953025682,sell,142.60938300,0.02500000,3.5652,0.0036,0.0286,0.0856,51.4497,Filled at iteration 2506
2026-01-19T01:29:10.458006,2507,997005885100,sell,142.64954900,0.02500000,3.5662,0.0036,0.0286,0.1142,51.4667,Filled at iteration 2507
2026-01-19T01:49:10.502163,2567,996833042516,sell,142.81021300,0.02500000,3.5703,0.0036,0.0286,0.1428,51.5044,Filled at iteration 2567
2026-01-19T01:53:10.483393,2579,996820153368,sell,142.86042050,0.02500000,3.5715,0.0036,0.0286,0.1714,51.5030,Filled at iteration 2579
2026-01-19T01:53:10.610353,2579,996831076345,sell,142.86042050,0.02500000,3.5715,0.0036,0.0286,0.2000,51.5030,Filled at iteration 2579
2026-01-19T01:53:10.750099,2579,996831979644,sell,142.87046200,0.02500000,3.5718,0.0036,0.0286,0.2286,51.5030,Filled at iteration 2579
2026-01-19T02:00:30.454135,2601,996835757594,sell,142.96083550,0.02500000,3.5740,0.0036,0.0286,0.2573,51.5159,Filled at iteration 2601
2026-01-19T02:04:10.595824,2612,996810576368,sell,143.07129200,0.02500000,3.5768,0.0036,0.0287,0.2859,51.5323,Filled at iteration 2612
2026-01-19T02:04:10.698175,2612,996874398014,sell,143.01104300,0.02500000,3.5753,0.0036,0.0286,0.3146,51.5323,Filled at iteration 2612
2026-01-19T02:53:50.553415,2761,997043756136,buy,142.22729700,0.02500000,3.5557,0.0036,0.0000,0.3146,51.4372,Filled at iteration 2761
2026-01-19T03:08:10.671713,2804,997026491239,buy,142.02812700,0.02500000,3.5507,0.0036,0.0000,0.3146,51.4128,Filled at iteration 2804
2026-01-19T03:08:30.254894,2805,997026039361,buy,142.00821000,0.02500000,3.5502,0.0036,0.0000,0.3146,51.4128,Filled at iteration 2805
2026-01-19T06:03:51.104809,3331,997099187225,buy,142.22729700,0.02500000,3.5557,0.0036,0.0000,0.3146,51.4443,Filled at iteration 3331
2026-01-19T06:04:11.077812,3332,997082132584,buy,142.05800250,0.02500000,3.5515,0.0036,0.0000,0.3146,51.4048,Filled at iteration 3332
2026-01-19T06:04:11.179972,3332,997100694612,buy,142.04804400,0.02500000,3.5512,0.0036,0.0000,0.3146,51.4048,Filled at iteration 3332
2026-01-19T06:04:11.292368,3332,997101603410,buy,142.05800250,0.02500000,3.5515,0.0036,0.0000,0.3146,51.4048,Filled at iteration 3332
2026-01-19T06:04:30.929867,3333,997071009088,buy,141.85883250,0.02500000,3.5465,0.0035,0.0000,0.3146,51.3352,Filled at iteration 3333
2026-01-19T06:09:51.023635,3349,997011109709,buy,141.45053400,0.02500000,3.5363,0.0035,0.0000,0.3146,51.1888,Filled at iteration 3349
